can I get covid-19 from my pet?,AnimalContact
Should I avoid contact with pets or other animals if I am sick with COVID-19?,AnimalContact
Animal contact,AnimalContact
can I get this from my cat?,AnimalContact
can I get this from my dog?,AnimalContact
can my dog catch corona virus?,AnimalContact
do dogs and cats get sick from corona virus?,AnimalContact
Are funerals safe? ,AttendingFuneral
Can I go to a funeral of someone who died of  Corona Virus (COVID-19)?,AttendingFuneral
Can I go to a funeral? ,AttendingFuneral
Am I at risk if I go to a funeral or visitation service for someone who died of COVID-19?,AttendingFuneral
Should I avoid funerals?,AttendingFuneral
What is CDC doing about COVID-19?,CDC_Response
How is CDC helping Americans prepare?,CDC_Response
Does CDC work to protect public health?,CDC_Response
CDC response,CDC_Response
What is the center for disease control doing to help?,CDC_Response
does my daughter need to wear a facemask?,ChildrenAndFaceMasks
Children and facemasks,ChildrenAndFaceMasks
can my child play outside without a mask?,ChildrenAndFaceMasks
are facemasks recommended for children,ChildrenAndFaceMasks
Should children wear masks?,ChildrenAndFaceMasks
do kids need to limit in person contact?,ChildrenSocializing
Is social distancing important for kids too?,ChildrenSocializing
While school is out can my child go to sports practice?,ChildrenSocializing
Children socializing,ChildrenSocializing
"While school’s out, can my child hang out with their friends?",ChildrenSocializing
Can my kid still go to group activities?,ChildrenSocializing
Does  Corona Virus (COVID-19) spread to an entire community?,CommunitySpread
Community Spread,CommunitySpread
Why is community spread of this virus important?,CommunitySpread
What is community spread?,CommunitySpread
What does that term community spread mean?,CommunitySpread
How does community spread happen? ,CommunitySpread
Can community spread happen? ,CommunitySpread
what are the symptoms of corona virus,Covid_Symptoms
what is the symptom of covid-19,Covid_Symptoms
what are the symptoms of covid-19,Covid_Symptoms
how do i know that i have covid-19,Covid_Symptoms
How do you know this?,DataSource
Is this information accurate?,DataSource
Are you sure?,DataSource
Is this true?,DataSource
Where did you learn this?,DataSource
Where do you get your information?,DataSource
What cleaning products should I use to protect against COVID-19?,DisinfectingSurfaces
How do I clean my home to remove virus molecules,DisinfectingSurfaces
Do I need to clean with bleach?,DisinfectingSurfaces
how should i disinfect my home?,DisinfectingSurfaces
what products are best at disinfecting?,DisinfectingSurfaces
Where do i need to disinfect?,DisinfectingSurfaces
Disinfecting surfaces,DisinfectingSurfaces
gtg,goodbyes
gotta go,goodbyes
gday,goodbyes
good day,goodbyes
good bye,goodbyes
goodbye,goodbyes
go,goodbyes
farewell,goodbyes
cya,goodbyes
catch ya later,goodbyes
bye now,goodbyes
bye bye,goodbyes
bye,goodbyes
au revoir,goodbyes
adios,goodbyes
adieu,goodbyes
good night,goodbyes
g'day,goodbyes
i'm leaving,goodbyes
no problem,goodbyes
laters,goodbyes
leave,goodbyes
logging off,goodbyes
my time is up,goodbyes
ok bye,goodbyes
out of time,goodbyes
over and out,goodbyes
run,goodbyes
see ya,goodbyes
see ya later,goodbyes
see ya soon,goodbyes
shut up,goodbyes
gotta run,goodbyes
sorry got to go,goodbyes
take it easy,goodbyes
take care,goodbyes
soon,goodbyes
so long,goodbyes
thank you for the info,goodbyes
signing out,goodbyes
signing off,goodbyes
should go,goodbyes
should be going,goodbyes
see you later,goodbyes
no thank you,goodbyes
youre welcome now bye,goodbyes
see you,goodbyes
later,goodbyes
im leaving,goodbyes
have a good one,goodbyes
thanks for your help,goodbyes
be quiet robot,goodbyes
done,goodbyes
dont need your help at all,goodbyes
good bye hohoho,goodbyes
goodbye joto,goodbyes
got to go bye nice time talking to you,goodbyes
gtg go right now ok,goodbyes
stop,goodbyes
ok thank you,goodbyes
ok thank you for your time,goodbyes
ok thanks,goodbyes
o thank u,goodbyes
i am done with you,goodbyes
bye im going to play a game,goodbyes
thx,goodbyes
ty,goodbyes
ttyl,goodbyes
thanks,goodbyes
toodles,goodbyes
then bye,goodbyes
thank you,goodbyes
thanks watson,goodbyes
talk to you later,goodbyes
talk to you soon,goodbyes
hey there,greeting
How are you?,greeting
heya,greeting
hi,greeting
hey,greeting
hola,greeting
hi there,greeting
howdy,greeting
namaste,greeting
good evening,greeting
Good afternoon,greeting
Good morning,greeting
feeling a bit low,greeting
Olla,greeting
yello,greeting
yo,greeting
hello,greeting
hello watson,greeting
ciao,greeting
buenos dias,greeting
bonjour,greeting
aloha,greeting
hiya,greeting
handwashing products,HandwashingTips
will washing my hands help protect me?,HandwashingTips
will frequent handwashing help?,HandwashingTips
how do i wash my hands correctly?,HandwashingTips
Should I use soap and water or a hand sanitizer to protect against COVID-19?,HandwashingTips
should i keep washing my hands,HandwashingTips
is hand sanitizer effective against covid-19?,HandwashingTips
Handwashing tips,HandwashingTips
What should healthcare professionals and health departments do?,HealthDeptRecommendedActions
Health dept recommended actions,HealthDeptRecommendedActions
how do I ship a specimen to the CDC lab?,HealthDeptRecommendedActions
